kind,crawl_role,path_group,title,h1,meta_description,url,canonical,status_code
product,detail,products/identity-threat-detection-and-response,Title,Sophos ITDR - Identity Threat Detection and Response (Embed Form) Sophos ITDR - Identity Threat Detection and Response (Embed Form),Description,https://www.sophos.com/en-gb/products/identity-threat-detection-and-response/speak-with-an-expert,https://www.sophos.com/en-gb/products/identity-threat-detection-and-response/speak-with-an-expert,200
product,detail,products/incident-response-services,Incident Response Services - Sophos Cyber Attack Helpline,Sophos Incident Response services,Experiencing an Active Cyberattack? Get Emergency Incident Response to Rapidly Eliminate Active Threats.,https://www.sophos.com/en-gb/products/incident-response-services,https://www.sophos.com/en-gb/products/incident-response-services,200
product,detail,products/incident-response-services,Sophos Emergency Incident Response | Every Second Counts,Sophos Emergency Incident Response,Every Second Counts. Sophos Has 24/7 Experts Ready to Identify and Neutralize Active Threats Against Your Organization.,https://www.sophos.com/en-gb/products/incident-response-services/emergency-response,https://www.sophos.com/en-gb/products/incident-response-services/emergency-response,200
product,detail,products/incident-response-services,Sophos Security Services Retainer,Sophos Security Services Retainer,Prevent more. Respond faster. Spend smarter.,https://www.sophos.com/en-gb/products/incident-response-services/incident-response-services-retainer,https://www.sophos.com/en-gb/services/security-services-retainer,200
product,detail,products/managed-detection-and-response,Sophos MDR | 24/7 Managed Detection & Response | Agentic SOC,AI speed. Human judgment.,"Sophos MDR is the world's largest Agentic SOC. Fully managed, 24/7 detection and response for the agentic era. AI resolves 52% of cases in 89 seconds. Sophos Analysts supervise the AI and own every outcome. No caps on incident response.",https://www.sophos.com/en-gb/products/managed-detection-and-response,https://www.sophos.com/en-gb/services/managed-detection-and-response,200
product,detail,products/managed-detection-and-response-old,Sophos MDR | 24/7 Managed Detection & Response | Agentic SOC,AI speed. Human judgment.,"Sophos MDR is the world's largest Agentic SOC. Fully managed, 24/7 detection and response for the agentic era. AI resolves 52% of cases in 89 seconds. Sophos Analysts supervise the AI and own every outcome. No caps on incident response.",https://www.sophos.com/en-gb/products/managed-detection-and-response-old,https://www.sophos.com/en-gb/services/managed-detection-and-response,200
product,detail,products/managed-detection-and-response,Compromise Assessment to Discover Evidence of a Breach,Sophos Compromise Assessment,Confirm if an attacker is operating undetected in your environment and shift from threat assessment to neutralization with Sophos Rapid Response.,https://www.sophos.com/en-gb/products/managed-detection-and-response/compromise-assessment,https://www.sophos.com/en-gb/products/managed-detection-and-response/compromise-assessment,200
product,detail,products/managed-detection-and-response,Compromise Assessment Request | MDR,Speak with an Expert about Sophos Compromise Assessment,"Free Compromise Assessment Request. Sophos can help organizations identify ongoing or past attacker activity in your environment to take swift, decisive action.",https://www.sophos.com/en-gb/products/managed-detection-and-response/compromise-assessment-request,https://www.sophos.com/en-gb/products/managed-detection-and-response/compromise-assessment-request,200
product,detail,products/managed-detection-and-response,Sophos MDR Breach Protection Warranty Claim Request,Sophos MDR Breach Protection Warranty,"Please complete this form to initiate a claim under the Sophos MDR Breach Protection Warranty. Once submitted, a team member will be in touch using the contact information provided. Sophos has the right to use and collect the data submitted in accordance with the Sophos Terms of Use and Privacy Notice. For full details of the warranty, please see our legal pages.",https://www.sophos.com/en-gb/products/managed-detection-and-response/mdr-breach-protection-warranty,https://www.sophos.com/en-gb/products/managed-detection-and-response/mdr-breach-protection-warranty,200
product,detail,products/managed-detection-and-response,MDR for Microsoft | Sophos Managed Security,Expert-led threat detection and response for Microsoft environments,"Let Sophos extend your team with highly skilled experts who monitor, investigate, and respond to Microsoft Security alerts 24/7.",https://www.sophos.com/en-gb/products/managed-detection-and-response/microsoft-defender,https://www.sophos.com/en-gb/services/managed-detection-and-response/microsoft,200
product,detail,products/managed-risk,Sophos Managed Risk - Vulnerability Management Service,Sophos Managed Risk,"Sophos Managed Risk identifies and prioritizes critical vulnerabilities, providing proactive monitoring, expert guidance, and attack surface visibility to protect your business from cyber threats.",https://www.sophos.com/en-gb/products/managed-risk,https://www.sophos.com/en-gb/services/managed-risk,200
product,detail,products/mobile-control,Unified Endpoint Management (UEM) - Sophos Mobile Security,Sophos Mobile,"Our UEM Solution Protects Endusers, Devices, and Corporate Data from Known and Never-Before-Seen Mobile Threats.",https://www.sophos.com/en-gb/products/mobile-control,https://www.sophos.com/en-gb/products/mobile-control,200
product,detail,products/mobile-control,Intercept X for Mobile | Sophos,"Mobile Threat Defense for Android, iOS, and Chrome OS",We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/mobile-control/intercept-x,https://www.sophos.com/en-gb/products/mobile-control/intercept-x,200
product,detail,products/mobile-control,Tech Specs | Sophos Mobile Security,Tech Specs,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/mobile-control/tech-specs,https://www.sophos.com/en-gb/products/mobile-control/tech-specs,200
product,detail,products/mobile-control,Product - tech-specs - 1764403228792,Product - tech-specs - 1764403228792,,https://www.sophos.com/en-gb/products/mobile-control/tech-specs-product,https://www.sophos.com/en-gb/products/mobile-control/tech-specs-product,200
product,detail,products/network-detection-and-response,Network Detection and Response | Sophos NDR Solutions,Sophos Network Detection and Response,Detect Suspicious Behaviors That Extend Beyond Your Firewalls and Endpoints. Get Critical Visibility into Network Activity with Sophos NDR.,https://www.sophos.com/en-gb/products/network-detection-and-response,https://www.sophos.com/en-gb/products/network-detection-and-response,200
product,detail,products/next-gen-firewall,Sophos Firewall: Consolidate Your Security,Sophos Firewall,"Sophos Next-Gen Firewall. Integration with Sophos MDR and Sophos XDR, Comprehensive SD-WAN Capabilities, Support for SSE/SASE Portfolio, Cloud Management and Built in ZTNA.",https://www.sophos.com/en-gb/products/next-gen-firewall,https://www.sophos.com/en-gb/products/next-gen-firewall,200
product,detail,products/next-gen-firewall,All In One Protection | Sophos,"Ultimate, all-in-one network protection",We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/next-gen-firewall/all-in-one-protection,https://www.sophos.com/en-gb/products/next-gen-firewall/all-in-one-protection,200
product,detail,products/next-gen-firewall,Sizing Tool | Sophos,Sophos Central Firewall Data Storage Estimation Tool,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/next-gen-firewall/central-reporting/sizing-tool,https://www.sophos.com/en-gb/products/next-gen-firewall/central-reporting/sizing-tool,200
product,detail,products/next-gen-firewall,The World’s Best Network Security Platform | Sophos,Much more than a firewall,"Much More Than a Firewall. Connect Your Network with ZTNA, Access Points, SD-WAN, Remote Ethernet Devices and Switches - All Managed from Sophos Central.",https://www.sophos.com/en-gb/products/next-gen-firewall/ecosystem,https://www.sophos.com/en-gb/products/next-gen-firewall/ecosystem,200
product,detail,products/next-gen-firewall,Sophos Firewall Central Management and Reporting,Sophos Central Management and Reporting,Sophos Central for Firewall. Cloud platform with easy management and reporting is included to secure your entire security ecosystem.,https://www.sophos.com/en-gb/products/next-gen-firewall/ecosystem-central,https://www.sophos.com/en-gb/products/next-gen-firewall/ecosystem-central,200
product,detail,products/next-gen-firewall,Endpoint Integration | Sophos,Synchronized Security,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/next-gen-firewall/endpoint-integration,https://www.sophos.com/en-gb/products/next-gen-firewall/endpoint-integration,200
product,detail,products/next-gen-firewall,Enterprise Firewall | Sophos XGS Series Xstream Architecture,Enterprise protection,"Enterprise Firewall. The All-New Xstream Architecture Delivers Extreme Levels of Protection, Performance, and Visibility Across the Enterprise. Learn More.",https://www.sophos.com/en-gb/products/next-gen-firewall/enterprise-protection,https://www.sophos.com/en-gb/products/next-gen-firewall/enterprise-protection,200
product,detail,products/next-gen-firewall,Sophos Firewall Features | Proven Performance,Powerful protection and performance,"All the Firewall Features You Need. Expose Hidden Risks, Stop Unknown Threats, and Isolate Infected Systems with Sophos: Much More Than a Firewall.",https://www.sophos.com/en-gb/products/next-gen-firewall/features,https://www.sophos.com/en-gb/products/next-gen-firewall/features,200
product,detail,products/next-gen-firewall,"Sophos XGS Series Firewall Comparison - Desktop, 1U &amp; 2U Models",Compare Sophos Firewall and other hardware appliances,"XGS 1U, 2U, and desktop hardware firewall comparisons. Find everything you need to connect and secure your organization.",https://www.sophos.com/en-gb/products/next-gen-firewall/firewall-comparison,https://www.sophos.com/en-gb/products/next-gen-firewall/firewall-comparison,200
product,detail,products/next-gen-firewall,Public Cloud | Sophos,Secure your cloud,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/next-gen-firewall/public-cloud,https://www.sophos.com/en-gb/products/next-gen-firewall/public-cloud,200
product,detail,products/next-gen-firewall,Product - Public Cloud | Sophos - 1764997357011,Product - Public Cloud | Sophos - 1764997357011,,https://www.sophos.com/en-gb/products/next-gen-firewall/public-cloud-product,https://www.sophos.com/en-gb/products/next-gen-firewall/public-cloud-product,200
product,detail,products/next-gen-firewall,,,,https://www.sophos.com/en-gb/products/next-gen-firewall/resources/white-papers/firewall-best-practices-to-block-ransomware,,0
product,detail,products/next-gen-firewall,School Protection | Sophos,Purpose-built for education,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/next-gen-firewall/school-protection,https://www.sophos.com/en-gb/products/next-gen-firewall/school-protection,200
product,detail,products/next-gen-firewall,SD-RED Remote Edge - Ethernet Devices for Branch Offices,SD-RED,"Sophos SD-RED devices extend secure network connectivity globally, replacing costly MPLS and integrating seamlessly with Sophos Firewall for SD-WAN.",https://www.sophos.com/en-gb/products/next-gen-firewall/sd-red-remote-ethernet-devices,https://www.sophos.com/en-gb/products/next-gen-firewall/sd-red-sd-wan-edge-device,200
product,detail,products/next-gen-firewall,SD-RED Remote Edge - Ethernet Devices for Branch Offices,SD-RED,"Sophos SD-RED devices extend secure network connectivity globally, replacing costly MPLS and integrating seamlessly with Sophos Firewall for SD-WAN.",https://www.sophos.com/en-gb/products/next-gen-firewall/sd-red-sd-wan-edge-device,https://www.sophos.com/en-gb/products/next-gen-firewall/sd-red-sd-wan-edge-device,200
product,detail,products/next-gen-firewall,Xstream SD-WAN Performance: Sophos Firewall and SD-RED,Xstream SD-WAN,Sophos SD-WAN solutions. Affordable zero-touch deployment with no added licensing cost for SD-REDs and no technical skills required at the remote site.,https://www.sophos.com/en-gb/products/next-gen-firewall/sd-wan,https://www.sophos.com/en-gb/products/next-gen-firewall/sd-wan,200
product,detail,products/next-gen-firewall,SD-WAN Calculator | Sophos,Sophos SD-WAN Savings Calculator,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/next-gen-firewall/sd-wan/calculator,https://www.sophos.com/en-gb/products/next-gen-firewall/sd-wan/calculator,200
product,detail,products/next-gen-firewall,Cloud-managed Wireless LAN Integrated into XGS Firewalls,Wireless LAN,"Integrated XGS-Wi-Fi models deliver cloud-managed, secure wireless network coverage in a small form factor for small offices and retail.",https://www.sophos.com/en-gb/products/next-gen-firewall/wireless-lan-wi-fi,https://www.sophos.com/en-gb/products/next-gen-firewall/wireless-lan-wi-fi,200
product,detail,products/next-gen-firewall,XGS Series Firewalls - Distributed Edge - 1U Rackmount Models,XGS Series next-gen firewall appliances,Sophos XGS 1U rackmount firewalls offer robust network protection and customizable performance for midsize organizations with built-in hardware acceleration.,https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-1u-distributed-edge-firewalls,https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-1u-distributed-edge-firewalls,200
product,detail,products/next-gen-firewall,XGS Series Firewalls - Distributed Edge - Enterprise & Campus - 2U Models,XGS Series next-gen firewall appliances,"Sophos XGS 2U firewalls offer optimal protection, performance, and business continuity for complex networks with dedicated hardware acceleration.",https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-2u-enterprise-campus-edge-firewalls,https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-2u-enterprise-campus-edge-firewalls,200
product,detail,products/next-gen-firewall,XGS Series Firewall Appliances - 2nd Gen Desktop Models,XGS Series,"Sophos 2nd Gen XGS desktops deliver double the performance using half the power. Enjoy 2.5 GE interfaces, fanless quiet models, and optional 5G for enhanced connectivity.",https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-smb-branch-office-firewalls,https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-smb-branch-office-firewalls,200
product,detail,products/next-gen-firewall,XGS Series Firewall Appliances - 1st Gen Desktop Models,XGS Series,"Sophos Gen 1 XGS desktop models offer all-in-one network security with seamless connectivity, ideal for growing businesses needing balance in price and performance.",https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-smb-firewalls,https://www.sophos.com/en-gb/products/next-gen-firewall/xgs-smb-firewalls,200
product,detail,products/phish-threat,Phishing Attack Employee Training | Sophos Phish Threat,Sophos Phish Threat,Sophos Phish Threat Educates and Tests your End Users through Automated Phishing Simulations and More. Start Testing and Training Your End Users Today.,https://www.sophos.com/en-gb/products/phish-threat,https://www.sophos.com/en-gb/products/phish-threat,200
